S,E,I,R,M
900.0,0.0,100.0,0.0,0.0
893.0047360946537,6.995263905346263,92.47583503145883,6.051182612484166,1.4729823560570088
886.5860872338696,11.631746871567824,87.29996654221841,11.647064262657345,2.8351350896867835
880.5702429940877,14.684200044309405,83.69476410914096,16.929744658764562,4.121048193697333
874.8419676009761,16.67141850776021,81.13848891719863,21.99426767209654,5.353857301968513
869.3247753436657,17.94127515621656,79.2808307669412,26.904105805486456,6.5490129276901206
863.9678962616458,18.727300426140182,77.88646408370285,31.7015336518886,7.716805576622581
858.7376614484193,19.18642773458967,76.79726554265851,36.414585824000355,8.864059450332203
853.6117882237672,19.424222738069606,75.90699081307237,41.061728603381,9.995269621709811
848.5755788967732,19.511771405425485,75.14428426127957,45.654999233121586,11.113366203400181
843.6193874335961,19.49699765388447,74.46126956374954,50.20211709661581,12.220228252154152
838.736928686934,19.412255057568927,73.82588214708048,54.707904493492386,13.31702961492423
833.9241487510608,19.27942330984178,73.21671266845372,59.17524343748957,14.404471833154167
829.1784696299686,19.113331959576318,72.61953689409417,63.605720423915535,15.482941092445447
824.4982839251841,18.924061871023987,72.02497893212883,68.00006121371749,16.552614057945764
819.8826167004408,18.71849316964944,71.4269366248362,72.35842421550385,17.6135292895698
815.330899232127,18.50134693590122,70.82151978327028,76.68059858517601,18.66563546352566
810.8428177023325,18.27588656666418,70.20633370058049,80.9661380761983,19.708823954224655
806.4182121277057,18.044390216800263,69.5799952590749,85.21445153395044,20.74295086246871
802.0570089872537,17.808469178994784,68.9418058089365,89.42486410883488,21.767851915980188
797.7591764722467,17.569282528660896,68.29152977292159,93.59665867467784,22.783352551492907
793.5246949333181,17.327681887104198,67.62924459375192,97.72910385009632,23.78927473572946
789.3535375441924,17.08430908710796,66.95523885266175,101.82147293990782,24.785441576130065
785.245657838636,16.83966208328047,66.2699429356906,105.87305671150733,25.7716804308856
781.2009818744272,16.59413944356759,65.57388170857283,109.88317197573502,26.74782499769737
777.2194035139354,16.348070389164974,64.86764208743814,113.85116730401512,27.713716705446345
773.3007818046208,16.10173508131674,64.15185070273924,117.77642678313863,28.669205628184518
769.4449397742666,15.85537832496432,63.42715841219948,121.65837241844959,29.614151070119902
765.6516641784863,15.60921882887599,62.694229470276255,125.49646559988139,30.54842192247993
761.9207058878042,15.363455467023199,61.95373387171179,129.29020791261766,31.471896860842993
758.2517807023818,15.118271517115753,61.20634186636309,133.03914148444738,32.384464429691825
754.6445704503418,14.873837535698318,60.45271996658609,136.74284900120236,33.28602304617129
751.0987242714169,14.63031331544119,59.693527987511956,140.40095348059415,34.17648094503565
747.6138600185643,14.387849225811113,58.929416808671974,144.01311786695285,35.055756079999654
744.189565731105,14.14658714065791,58.16102664560081,147.57904449051753,35.923775992118685
740.8254011471354,13.906661090209958,57.38898568780615,151.09847442213842,36.78047765271
737.5208992326145,13.668197730286963,56.613909005326946,154.57118674555997,37.62580728621146
734.2755677111294,13.431316691294164,55.836397657104264,157.99699776353793,38.4597201769341
731.0888905828793,13.196130849085195,55.05703795535211,161.37576015000215,39.282180462681076
727.9603296245639,12.962746545914529,54.27640085428527,164.7073620577052,40.09316091753102
724.8893258640585,12.731263780310291,53.495041441131804,167.99172618888193,40.89264272561742
721.8753010253238,12.50177637834056,52.713498513815985,171.2288088351089,41.68061524741068
718.9176589401169,12.274372154444269,51.93229423405019,174.41859889160904,42.45707577977956
716.0157869239001,12.049133067089947,51.15193384750319,177.561116850564,43.22202931094273
713.1690571139641,11.826135372563762,50.372905464680244,180.6564137774935,43.9754882712984
710.3768277682591,11.605449778868806,49.595679897470326,183.70457027437533,44.71747228102642
707.6384445238082,11.387141600834408,48.82071054720035,186.70569543287436,45.448007895282664
704.9532416138809,11.171270916947526,48.04843334062917,189.65992578079778,46.16712834774459
702.3205430433629,10.957892728033102,47.279266710713074,192.56742422467698,46.87487329321387
699.7396637219714,10.747057117662019,46.5136116192451,195.42837899118567,47.57128854993581
697.2099105551523,10.538809414010062,45.75185161865761,198.24300256992785,48.25642584225217
694.7305834926594,10.333190352799253,44.99435295041126,201.01153065996562,48.93034254416438
692.3009765349568,10.130236240903493,44.24146467749305,203.73422112230065,49.59310142434596
689.9203786977135,9.92997912017989,43.49351884862647,206.41135294037343,50.24477039310663
