S,E,I,R,M
900.0,0.0,100.0,0.0,0.0
863.3244711211319,36.675528878868136,83.87024314884678,7.8830810231820685,8.246675827971151
833.8180980514275,52.57812411929124,83.94595468774814,14.494640244945469,15.163182896587728
805.2944567939061,61.599357611635426,89.90808407541226,21.11216786866436,22.085933650381868
775.7900200219475,68.25520839202373,98.25471471608817,28.199694982719766,29.50036188722087
744.7278735488048,73.99996424966542,107.72385875308984,35.945193752885395,37.60310969555452
712.0357308064802,79.24385733342166,117.79651192410519,44.43715281968967,46.48674711630336
677.8560427962034,84.03021790022504,128.1895484150807,53.72314729714921,56.2010435913417
642.4462027124648,88.2713618477393,138.6815820833612,63.82843326196123,66.77242009447353
606.139280912377,91.83645191498894,149.05441182882072,74.76081474182334,78.20904060199005
569.3220483839576,94.58948069034858,159.07650137797506,86.51089479491675,90.50107475280198
532.4159691376298,96.41019594510166,168.50321248996102,99.05102428738587,103.61959813992165
495.857067959476,97.20838892879677,177.0847622234069,112.33426905463415,117.51551183368613
460.0744940845682,96.93418689469596,184.57819656533718,126.29400434041463,132.11911811498402
425.4692089950524,95.5844037714865,190.7612504718299,140.84445312678844,147.34068363484275
392.39479392033604,93.20441552604126,195.44632792466592,155.88231706231807,163.07214556663865
361.1423037051509,89.88529354411236,198.49292265302378,171.2895094494536,179.1899706482593
331.9305744802812,85.75654750187859,199.81697212944687,186.93686736747358,195.5590385209197
304.9025995662494,80.97549183655993,199.39601095698097,202.688601178507,212.03729646170265
280.1277247513708,75.71473705766721,197.26954881249242,218.4071502792388,228.4808390992307
257.6086770431433,70.14948733866841,193.53474767489666,233.95806864619328,244.74901929709827
237.29197021491115,64.44617292207863,188.33808469726486,249.21456961341636,260.7092025523289
219.08007815300857,58.75353122047352,181.86414334098473,264.061413427611,276.2408338579221
202.8438986443739,53.19670569709096,174.32290425266837,278.3979111992968,291.2385802065699
188.434353311699,47.87439745669138,165.9368972339188,292.13992698349875,305.614425014192
175.6923732084465,42.858687715509376,156.92936902817422,305.22086703980295,319.2987030080669
164.4569091798245,38.19690135513215,147.51429376488,317.59173634946234,332.240159350701
154.5709206080271,33.9148008581011,137.8886859287374,329.22040764772265,344.4051849574117
145.88551105160457,30.020448646895492,128.22733793080988,340.09028448128606,355.77641788940394
138.26249800370343,26.508202675722885,118.67983912493743,350.19854942424126,366.3509107713949
131.57574588681592,23.36246673101699,109.36955770433863,359.5541773006422,376.13805237718617
125.71158101132589,20.560967697407854,100.39417788654626,368.1758681491711,385.15740525554884
120.5685671848002,18.07745656135203,91.82736606331362,376.0900225345251,393.436587656009
116.0568683374176,15.883820535682176,83.72117006753521,383.32884820275007,401.0092928566149
112.09737138883634,13.95165150825896,76.10881487870579,389.9286558727299,407.9135063514689
108.62069503285679,12.253346799977157,69.00762916073757,395.92837541540194,414.18995359102644
105.56617090352258,10.762829245452519,62.42190805222394,401.3683027343199,419.88078906448095
102.88085314091367,9.455971779908415,56.3455812897028,406.28907232229295,425.0285214671821
100.51858987535897,8.310802618825452,50.764608457942515,410.73084014834313,429.67515889952983
98.43917424463957,7.307554798857618,45.65906399792366,414.73265536418387,433.86155159439517
96.60758180531953,6.42861094878181,41.00490428394199,418.33199637356677,437.62690658838983
94.99329428366273,5.65838220655719,36.775429189775444,421.5644462017482,441.00844811825635
93.56970544409432,4.9831499312236955,32.942462995398536,424.46348308140114,444.04119854788223
92.31360258265734,4.390890502419104,29.477286103701204,427.0603641303602,446.7578566808621
91.20471614358208,3.8710969825796324,26.351351487770156,429.38408247735015,449.18875290871796
90.22532975088647,3.4146065136069277,23.536819427468394,431.46138086583454,451.3618634422036
89.35994322423599,3.01343875173043,21.00694197184973,433.3168074115819,453.3028686406019
88.59498169278854,2.6606481325249742,18.736325460580424,434.97280166771566,455.03524304639035
